recipe_id,recipe_name,ingredient,quantity,unit,category,tags,cook_time,rating,source,source_url,servings,notes
1,Thai Green Curry,Chicken breast,300,g,Protein,,30 mins,,,2,
1,Thai Green Curry,Coconut milk,400,ml,Tinned goods,,30 mins,,,2,
1,Thai Green Curry,Green curry paste,50,g,Condiments,,30 mins,,,2,
1,Thai Green Curry,Jasmine rice,200,g,Carbs,,30 mins,,,2,
1,Thai Green Curry,Green beans,150,g,Vegetables,,30 mins,,,2,
2,Spaghetti Bolognese,Minced beef,250,g,Protein,,45 mins,,,2,
2,Spaghetti Bolognese,Spaghetti,200,g,Carbs,,45 mins,,,2,
2,Spaghetti Bolognese,Tomato sauce,150,ml,Tinned goods,,45 mins,,,2,
2,Spaghetti Bolognese,Onion,1,whole,Vegetables,,45 mins,,,2,
2,Spaghetti Bolognese,Garlic,2,cloves,Vegetables,,45 mins,,,2,
3,Chicken Teriyaki,Chicken breast,300,g,Protein,Japanese,25 mins,,,2,
3,Chicken Teriyaki,Soy sauce,50,ml,Condiments,Japanese,25 mins,,,2,
3,Chicken Teriyaki,Jasmine rice,200,g,Carbs,Japanese,25 mins,,,2,
3,Chicken Teriyaki,Green beans,100,g,Vegetables,Japanese,25 mins,,,2,
3,Chicken Teriyaki,Ginger,10,g,Vegetables,Japanese,25 mins,,,2,
3,Chicken Teriyaki,Garlic,2,cloves,Vegetables,Japanese,25 mins,,,2,
4,Beef Tacos,Minced beef,300,g,Protein,Mexican,20 mins,5,,2,
4,Beef Tacos,Taco shells,8,pieces,Carbs,Mexican,20 mins,5,,2,
4,Beef Tacos,Cheddar cheese,100,g,Dairy,Mexican,20 mins,5,,2,
4,Beef Tacos,Lettuce,100,g,Vegetables,Mexican,20 mins,5,,2,
4,Beef Tacos,Tomato,2,whole,Vegetables,Mexican,20 mins,5,,2,
4,Beef Tacos,Sour cream,100,ml,Dairy,Mexican,20 mins,5,,2,
5,Vegetable Stir Fry,Soy sauce,40,ml,Condiments,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Green beans,150,g,Vegetables,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Bell pepper,1,whole,Vegetables,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Onion,1,whole,Vegetables,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Garlic,3,cloves,Vegetables,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Ginger,15,g,Vegetables,Asian,15 mins,,,2,
5,Vegetable Stir Fry,Jasmine rice,200,g,Carbs,Asian,15 mins,,,2,
6,Creamy Pasta,Spaghetti,250,g,Carbs,Italian,20 mins,,,2,
6,Creamy Pasta,Heavy cream,200,ml,Dairy,Italian,20 mins,,,2,
6,Creamy Pasta,Parmesan cheese,50,g,Dairy,Italian,20 mins,,,2,
6,Creamy Pasta,Garlic,3,cloves,Vegetables,Italian,20 mins,,,2,
6,Creamy Pasta,Spinach,100,g,Vegetables,Italian,20 mins,,,2,
